"","SRR13639990","SRR13639992","SRR13639993","SRR13639994","SRR13639995","SRR13639999","SRR13640002","SRR13640004","SRR19173185","SRR19173191","SRR19173211","SRR19173215","SRR19173217","SRR19173231","SRR19173232","SRR19173243"
"ENSG00000274481.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.4",22,22,24,14,41,53,98,13,4,0,11,8,0,0,0,4
"ENSG00000286989.1",2,5,4,12,12,15,14,4,0,0,0,7,1,1,0,0
"ENSG00000272106.1",54,82,63,57,110,93,84,15,2,1,2,4,10,10,7,21
"ENSG00000197530.13",261,318,155,214,718,756,661,129,8,2,61,47,54,28,26,59
"ENSG00000189409.14",6,5,2,7,8,23,18,3,0,0,0,0,0,0,0,1
"ENSG00000248333.9",1847,1334,767,1996,842,1129,791,240,60,34,243,314,231,183,155,120
"ENSG00000272004.1",0,0,2,0,1,0,0,0,2,0,0,0,0,1,5,0
"ENSG00000189339.12",562,634,443,374,1512,766,1638,190,152,54,1398,701,559,1045,535,688
"ENSG00000269737.2",106,79,27,88,267,36,169,8,1,1,35,42,9,38,10,0
"ENSG00000215914.4",0,3,0,0,8,9,9,0,0,0,0,0,0,0,0,0
"ENSG00000008128.23",33,43,24,39,45,36,28,5,2,3,35,71,17,24,32,30
"ENSG00000268575.1",18,15,9,7,30,16,27,8,3,3,21,22,6,16,30,20
"ENSG00000227775.3",21,44,6,67,310,49,79,9,4,6,63,61,3,21,0,15
"ENSG00000290854.1",1,9,8,11,21,25,13,1,6,0,44,16,15,20,24,26
"ENSG00000215790.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008130.15",1568,1343,1521,2211,5837,2211,4702,1935,763,250,1432,688,2813,5142,1592,955
"ENSG00000078369.19",5389,7655,8583,7251,5759,6804,7724,1827,207,102,733,699,829,702,428,724
"ENSG00000231050.3",0,1,1,0,1,0,1,0,1,0,0,0,5,1,0,0
"ENSG00000169885.10",0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0
"ENSG00000178821.13",1,1,4,3,0,3,0,0,0,0,1,0,0,0,0,0
"ENSG00000142609.20",0,1,0,1,0,0,1,1,3,0,0,0,0,0,0,0
"ENSG00000233542.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730.9",1,0,7,0,0,0,0,0,1,1,6,0,0,2,0,1
"ENSG00000226969.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000067606.17",92,71,66,104,154,84,93,17,8,1,27,13,11,16,7,19
"ENSG00000271806.1",7,2,14,7,5,6,1,2,0,0,2,0,0,8,4,9
"ENSG00000182873.5",12,22,20,21,35,11,28,8,5,0,34,8,12,1,13,10
"ENSG00000162585.17",260,332,378,258,222,295,243,32,9,3,87,67,100,21,40,31
"ENSG00000234396.3",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000157933.11",3082,4714,2688,4201,1186,1894,1043,179,10,6,17,37,36,29,11,35
"ENSG00000287356.1",6,8,1,13,7,7,3,0,0,0,0,0,0,0,0,4
"ENSG00000116151.14",20,8,10,9,52,23,36,9,5,6,54,17,60,25,5,9
"ENSG00000272161.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269896.2",0,1,0,0,33,7,12,2,0,0,6,0,0,0,0,0
"ENSG00000272420.1",1,4,4,0,2,1,0,0,0,0,6,1,4,1,2,1
"ENSG00000157916.20",310,300,301,255,1070,671,1229,267,176,68,1122,723,897,535,178,208
"ENSG00000157911.11",34,42,39,47,62,54,103,10,14,0,66,28,8,20,20,1
"ENSG00000149527.18",101,52,27,37,255,204,258,33,7,0,16,6,4,4,11,6
"ENSG00000224387.1",0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0
"ENSG00000229393.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.16",233,254,218,260,312,317,318,72,35,2,483,222,550,251,139,372
"ENSG00000197921.6",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"ENSG00000272449.3",165,83,89,159,132,89,110,45,1,1,22,28,5,3,1,6
"ENSG00000238164.6",58,26,34,64,164,110,121,27,6,3,58,36,40,36,15,30
"ENSG00000157873.18",2282,2064,2017,2270,2095,1905,1679,479,427,293,1948,2038,2590,1068,1444,1502
"ENSG00000225931.3",10,9,13,9,16,5,12,4,0,0,1,0,4,2,1,0
"ENSG00000228037.1",13,4,6,12,18,11,13,6,1,0,20,0,7,27,8,10
"ENSG00000289610.2",10,0,4,2,9,5,7,5,0,0,0,0,0,0,0,0
"ENSG00000157870.17",114,76,43,104,162,69,117,22,18,25,260,131,218,73,53,41
"ENSG00000142606.16",5,3,0,2,5,2,4,0,0,0,1,0,1,0,2,0
"ENSG00000237058.1",0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0
"ENSG00000215912.13",21,15,5,7,13,40,12,3,0,1,7,0,25,1,0,19
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287396.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.14",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000142611.17",0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287828.1",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
