"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000154839.10",21.2099040306676,1.00355524689714,1.37239372650055,0.00188235098156018,0.0344424318625963,"Up",TRUE
"ENSG00000276007.1",5.31721453363813,-1.26924301246896,0.620202095887725,0.00188756131679749,0.0345041057471121,"Down",TRUE
"ENSG00000116299.17",238.021964326468,1.23566001634261,0.606226351154448,0.00189706582457552,0.0346103789298773,"Up",TRUE
"ENSG00000162496.9",554.099757077517,-1.00058713051517,0.514200822404606,0.00190311644235671,0.0346870251471333,"Down",TRUE
"ENSG00000142405.23",326.329850097152,1.16078023054704,0.633263337275349,0.00190545696094058,0.034695966313049,"Up",TRUE
"ENSG00000158874.11",19.9880726070262,-1.46978734578231,0.847035713201823,0.0019161522545235,0.0348230964472755,"Down",TRUE
"ENSG00000290585.1",26.7675194259342,1.19040518281534,0.863771642837442,0.00192368255565777,0.0348447674296212,"Up",TRUE
"ENSG00000149557.14",36.521100136712,1.09565563619718,0.508094433381978,0.00192477627603773,0.0348447674296212,"Up",TRUE
"ENSG00000211934.3",141.456299612293,1.57651914407419,0.810360887367249,0.00192347058175864,0.0348447674296212,"Up",TRUE
"ENSG00000136383.7",6.41427465807327,-1.53555620333804,0.771854865872365,0.00193728836253581,0.03493915757009,"Down",TRUE
"ENSG00000180549.8",39.6306887324321,1.13315739118497,0.564763520009216,0.00194229425734587,0.0349930151743725,"Up",TRUE
"ENSG00000119862.13",191.826352501143,1.08983049939456,0.545927379392052,0.00194577950091909,0.035022163665775,"Up",TRUE
"ENSG00000163536.13",38.815996284226,1.21109751568892,0.632020615566919,0.00195939620244879,0.03523343794528,"Up",TRUE
"ENSG00000198719.9",13.1707555423709,-1.06333438350361,0.5064111182558,0.00196468326500337,0.0352496977241818,"Down",TRUE
"ENSG00000129194.8",9.72395354312433,-1.45871664991125,0.741484428127429,0.00197110780599327,0.0353086216823341,"Down",TRUE
"ENSG00000160789.24",1276.66407083747,-1.0523641891802,1.08262628519278,0.00198701548614875,0.0354581117437867,"Down",TRUE
"ENSG00000286531.1",5.32748054729693,-1.48545335848173,0.869944369167536,0.00199096722178636,0.0354660356234186,"Down",TRUE
"ENSG00000162398.12",11.3899947700035,1.41955648697432,0.785002290571561,0.00200004665533089,0.0355553317732047,"Up",TRUE
"ENSG00000272899.4",5.36317121776238,-1.7541343353373,0.922928998308006,0.00202823305164966,0.0358525079016864,"Down",TRUE
"ENSG00000107816.17",174.094717378221,-1.38939727700286,0.841470562734763,0.00202663630020729,0.0358525079016864,"Down",TRUE
"ENSG00000163220.11",16253.4863143642,1.05157983178012,0.543276968036703,0.00204621183805923,0.0360683299086475,"Up",TRUE
"ENSG00000203876.10",5.51333703588589,-1.4742535976869,0.791696398232363,0.00206012844568742,0.0361234661475483,"Down",TRUE
"ENSG00000231881.2",27.3302633641811,-1.24094154547231,1.03412021278761,0.00207484648696392,0.0363001360662391,"Down",TRUE
"ENSG00000181963.5",3.00436424268359,2.46341628876081,1.47936073546359,0.00208096318489295,0.0363732195085436,"Up",TRUE
"ENSG00000260517.3",23.3616254585872,-1.23670427058748,0.663627940100108,0.00214573821809302,0.0373314659372307,"Down",TRUE
"ENSG00000136929.13",167.636324171147,1.15310859740997,0.628675146372607,0.0021524793563134,0.037379398451535,"Up",TRUE
"ENSG00000250075.7",6.6716416761718,-1.40002611329724,0.794681785800845,0.00215510635008672,0.0373903974059911,"Down",TRUE
"ENSG00000105376.5",4.85142714239026,-1.87735058822657,0.985514195451876,0.00216072145340253,0.0374322052569138,"Down",TRUE
"ENSG00000211692.1",5.66255716133095,1.45287857742858,0.734598886753524,0.0021656299219883,0.0374344600800835,"Up",TRUE
"ENSG00000121764.12",6.05279402122386,-1.15736529456984,0.561186238652986,0.00221258486119875,0.0380365475249393,"Down",TRUE
"ENSG00000121653.11",10.7973070444827,-1.31399682184234,0.689717942358774,0.00223493942283093,0.0383147064672707,"Down",TRUE
"ENSG00000255284.4",10.4091128388441,1.10356384987497,0.54529875363389,0.00226824198465693,0.0387087155798368,"Up",TRUE
"ENSG00000153823.19",301.026755891343,-1.06469083321936,0.588770757516666,0.00227076883873601,0.0387166087004489,"Down",TRUE
"ENSG00000240666.2",5.17335632893168,2.35365280924621,1.26645370700343,0.00229103081254566,0.0389205460953748,"Up",TRUE
"ENSG00000163092.22",11.0465351915938,1.66758075324166,1.01891087732295,0.00230886644144199,0.0390819405318091,"Up",TRUE
"ENSG00000253846.3",7.99739191962941,1.42382332983884,0.745051374615331,0.00231433561975946,0.0391039320257556,"Up",TRUE
"ENSG00000127578.7",6.93970459625136,-2.00231720234288,1.25466862959577,0.00233026143875108,0.0393022061904464,"Down",TRUE
"ENSG00000273428.4",13.9844728792125,-1.57100892710005,1.07222532967608,0.00234381286786885,0.0394597938392104,"Down",TRUE
"ENSG00000233214.1",3.99323476337862,2.25392388284442,1.13683660163134,0.00234635352895072,0.0394671394040096,"Up",TRUE
"ENSG00000283526.2",3.07057043301613,-1.89084857324376,1.11689584398123,0.00239841389337133,0.0401030016650493,"Down",TRUE
"ENSG00000259863.1",8.23379187279875,-1.99538763812723,1.79458038338393,0.00244685784894046,0.040704981277085,"Down",TRUE
"ENSG00000287201.1",9.33842013616143,1.53722136576191,1.03964718447106,0.00244815883127443,0.040704981277085,"Up",TRUE
"ENSG00000169385.3",164.327539140926,1.16129464336539,0.641440440259426,0.00248350637938783,0.0409347901404677,"Up",TRUE
"ENSG00000278962.1",14.1091366745802,-1.34026430119066,0.965439157114128,0.00250443258260363,0.0411252487041718,"Down",TRUE
"ENSG00000226803.9",10.5543424261436,-1.16885223106377,0.584677452968937,0.00251749224538624,0.0412003202986203,"Down",TRUE
"ENSG00000149294.18",150.410452212824,1.21572971281074,0.708617683366101,0.00254941032994175,0.0415883605242031,"Up",TRUE
"ENSG00000181036.14",558.298864891468,1.08087650965659,1.07666943865914,0.0025703485556479,0.0417737323753695,"Up",TRUE
"ENSG00000135218.19",2443.04648658755,1.01640860378698,0.593708030178857,0.00262603400394191,0.0423849119999401,"Up",TRUE
"ENSG00000163357.11",12.468303012169,-1.32146007360414,1.70865534319127,0.00263916000097563,0.0424506396383345,"Down",TRUE
"ENSG00000177374.13",165.33633686905,-1.28731289230681,0.750585691671407,0.00273450948892434,0.0435855812157691,"Down",TRUE
"ENSG00000271938.1",4.12531525316159,-1.58946421416005,0.981280149192791,0.00275108645188202,0.0436889300635455,"Down",TRUE
"ENSG00000154330.13",7.56013414117379,1.68104820574349,1.38532478513479,0.00274942861977885,0.0436889300635455,"Up",TRUE
"ENSG00000145103.15",13.1412508380443,-1.79981925001896,1.24008427182569,0.00279240535531483,0.0439642927314507,"Down",TRUE
"ENSG00000105321.14",302.499560513217,-1.02614315479842,0.537596212662333,0.00279579238029864,0.0439642927314507,"Down",TRUE
"ENSG00000130340.17",657.122581257774,-1.05410733540797,0.593288527340755,0.00284431173262686,0.0444172077813629,"Down",TRUE
"ENSG00000280046.1",31.7386238833693,-1.32723886512273,0.900746048647389,0.00288516492684379,0.0447940961944994,"Down",TRUE
"ENSG00000288818.1",22.1815511934129,-1.10546747126622,1.00369860248266,0.00289795942475054,0.0449555244095917,"Down",TRUE
"ENSG00000289573.1",5.84607892099576,1.73246343404245,1.17414067626405,0.00293311119488205,0.0453293613673081,"Up",TRUE
"ENSG00000286138.3",6.52596033043794,-1.60005072428721,1.24278281084831,0.00300402893278199,0.0459837761810935,"Down",TRUE
"ENSG00000225138.8",11.8060449843211,-1.20894426662587,0.676922609059093,0.00301418308976968,0.0460725377739448,"Down",TRUE
"ENSG00000231246.3",49.4262837548177,1.08795005234295,0.578124028808365,0.00303679429503137,0.0462673249417655,"Up",TRUE
"ENSG00000289629.1",8.865772008952,-1.15939531822038,0.613398295116445,0.00304733603878554,0.0463526256345684,"Down",TRUE
"ENSG00000143850.16",8.0200615533294,-1.58211094949995,1.40730609211891,0.00307428288506341,0.0466112979057109,"Down",TRUE
"ENSG00000233929.1",7.10663705171668,-1.08754523238224,0.577138907144258,0.00308430866989965,0.0466122408538793,"Down",TRUE
"ENSG00000237667.7",3.96698997699085,1.77746635069065,2.12322829584457,0.00308787451024267,0.0466122408538793,"Up",TRUE
"ENSG00000273597.1",3.16629811161225,-2.15323583924118,1.2529264569971,0.00310920955459329,0.0468003412491149,"Down",TRUE
"ENSG00000214548.18",12.4680948677839,-1.58890820236575,1.24891000779885,0.00314101360756078,0.0471277681678419,"Down",TRUE
"ENSG00000179588.9",88.8458644295241,-1.08886704767747,0.595042015931438,0.00314364512229068,0.0471295477766281,"Down",TRUE
"ENSG00000170509.12",6.41361771151268,-1.18963670802696,0.677041895751714,0.00314773089602987,0.0471531093890097,"Down",TRUE
"ENSG00000252096.1",7.99133929660858,-1.41393166925293,0.968498578900207,0.00317217327613062,0.047367921810374,"Down",TRUE
"ENSG00000136014.12",12.9142091343894,-1.24922871945201,0.752496017050892,0.00323791801166293,0.0480240544216347,"Down",TRUE
"ENSG00000134183.13",111.510088048811,-1.08294295104353,0.597849238336345,0.00326699507912589,0.0481173725128863,"Down",TRUE
"ENSG00000288803.1",25.1985338691827,-1.126967036642,0.66597254644756,0.00326592262714196,0.0481173725128863,"Down",TRUE
"ENSG00000166592.13",18.3074645369899,-1.61594463783575,1.20777616122985,0.00331298006177764,0.0485429227020623,"Down",TRUE
"ENSG00000197165.11",6.08980044917235,1.35059040260567,0.900271733990781,0.00331590274898689,0.048547818936182,"Up",TRUE
"ENSG00000225422.4",13.1392258669481,-1.23243583506006,0.739094340859599,0.00334698927291639,0.048812851841829,"Down",TRUE
"ENSG00000120049.20",3.86609379642388,1.49097387995167,0.902034032185331,0.003382500818562,0.0490372434459432,"Up",TRUE
"ENSG00000289295.1",16.7740223221416,-1.01669346142688,0.564624502285433,0.00339706019176642,0.0491224856565761,"Down",TRUE
"ENSG00000289039.1",14.3992494417434,1.36967200680813,0.823915157908617,0.00340151156083472,0.0491489594171458,"Up",TRUE
"ENSG00000197483.11",85.9625209153985,-1.06462166125006,0.708580364764874,0.00346955538367825,0.0497981135030544,"Down",TRUE
