Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_severity,Experiment,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR19173244,RNA-Seq,300,4353316800,PRJNA837285,SAMN28196052,1785390885,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",mild,SRX15238719,convalescent,Illumina HiSeq 4000,GSM6133551,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:49:00Z,1,GSM6133551,PBMC,SRP374816
SRR19173245,RNA-Seq,300,4672322700,PRJNA837285,SAMN28196053,1920750657,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",severe_and_icu,SRX15238718,convalescent,Illumina HiSeq 4000,GSM6133550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133550,PBMC,SRP374816
SRR19173246,RNA-Seq,300,5415654600,PRJNA837285,SAMN28196054,2212567478,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",mild,SRX15238717,convalescent,Illumina HiSeq 4000,GSM6133549,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133549,PBMC,SRP374816
SRR19173247,RNA-Seq,300,7006603500,PRJNA837285,SAMN28196055,2855534768,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",severe,SRX15238716,convalescent,Illumina HiSeq 4000,GSM6133548,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:58:00Z,1,GSM6133548,PBMC,SRP374816
SRR19173248,RNA-Seq,300,6484878900,PRJNA837285,SAMN28196056,2644340693,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",severe,SRX15238715,convalescent,Illumina HiSeq 4000,GSM6133547,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133547,PBMC,SRP374816
SRR19173249,RNA-Seq,300,6690792000,PRJNA837285,SAMN28196057,2721343668,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",severe,SRX15238714,convalescent,Illumina HiSeq 4000,GSM6133546,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:56:00Z,1,GSM6133546,PBMC,SRP374816
SRR19173250,RNA-Seq,300,6317315100,PRJNA837285,SAMN28196058,2571069347,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",severe_and_icu,SRX15238713,convalescent,Illumina HiSeq 4000,GSM6133545,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133545,PBMC,SRP374816
SRR19173251,RNA-Seq,300,5879465700,PRJNA837285,SAMN28196091,2402626563,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",severe_and_icu,SRX15238712,acute,Illumina HiSeq 4000,GSM6133512,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:50:00Z,1,GSM6133512,PBMC,SRP374816
SRR19173252,RNA-Seq,300,6046092600,PRJNA837285,SAMN28196092,2481019155,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",severe,SRX15238711,acute,Illumina HiSeq 4000,GSM6133511,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133511,PBMC,SRP374816
SRR19173253,RNA-Seq,300,4662539400,PRJNA837285,SAMN28196093,1915644550,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",severe_and_icu,SRX15238710,acute,Illumina HiSeq 4000,GSM6133510,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:46:00Z,1,GSM6133510,PBMC,SRP374816
SRR19173254,RNA-Seq,300,4680763500,PRJNA837285,SAMN28196094,1934891921,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",moderate,SRX15238709,acute,Illumina HiSeq 4000,GSM6133509,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:53:00Z,1,GSM6133509,PBMC,SRP374816
SRR19173255,RNA-Seq,300,5059403100,PRJNA837285,SAMN28196095,2082560396,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",moderate,SRX15238708,acute,Illumina HiSeq 4000,GSM6133508,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T20:08:00Z,1,GSM6133508,PBMC,SRP374816
SRR19173256,RNA-Seq,300,5923273800,PRJNA837285,SAMN28196096,2446392219,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",moderate,SRX15238707,acute,Illumina HiSeq 4000,GSM6133507,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133507,PBMC,SRP374816
SRR19173257,RNA-Seq,300,7469814900,PRJNA837285,SAMN28196097,3051800921,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",healthy,SRX15238706,healthy,Illumina HiSeq 4000,GSM6133506,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:58:00Z,1,GSM6133506,PBMC,SRP374816
SRR19173258,RNA-Seq,300,8135699700,PRJNA837285,SAMN28196098,3309152269,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",healthy,SRX15238705,healthy,Illumina HiSeq 4000,GSM6133505,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:55:00Z,1,GSM6133505,PBMC,SRP374816
