"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction","significant"
"ENSG00000172794.20",1235.02491834492,1.29743601482433,0.309852100964949,1.422226815112e-06,0.000256479460744477,"Up",TRUE
"ENSG00000163235.16",121.188618216893,2.81139224860942,0.716868011341845,1.46682972697377e-06,0.000262003728851362,"Up",TRUE
"ENSG00000154252.12",15.3562059703399,-5.45596711585704,1.20622657785959,1.62585265327142e-06,0.000287668552000995,"Down",TRUE
"ENSG00000100504.17",1253.5689521953,1.65150973461741,0.395414477742168,1.64810135823452e-06,0.000288879822184003,"Up",TRUE
"ENSG00000286177.1",124.734384154896,-1.82945166793427,0.447847875904335,1.66795060676761e-06,0.000289651978054875,"Down",TRUE
"ENSG00000137414.7",890.718952527218,1.38477315431506,0.331110155599595,1.80600331743626e-06,0.000310748552463458,"Up",TRUE
"ENSG00000143924.19",1266.38631363576,-0.814996040377704,0.188577485738111,1.8442467959147e-06,0.000314444078703457,"NS",FALSE
"ENSG00000155099.8",298.549600825673,1.35856206259314,0.326514573521915,1.87482409373418e-06,0.00031609428256699,"Up",TRUE
"ENSG00000181192.12",206.9672610113,1.39318961955884,0.346996418037008,1.88763314569463e-06,0.00031609428256699,"Up",TRUE
"ENSG00000183323.13",119.86142153697,1.17143184717119,0.279388029968957,2.01990321336783e-06,0.000335250307670032,"Up",TRUE
"ENSG00000261804.3",29.4670119819187,2.21847192126866,0.551809718780527,2.04993590716509e-06,0.000337250420516503,"Up",TRUE
"ENSG00000232713.2",26.310927565623,-1.66703946022849,0.406896227826132,2.09869252354229e-06,0.000342269376339441,"Down",TRUE
"ENSG00000288932.2",21.0766340266771,2.63310742910234,0.64386766020434,2.14752641764928e-06,0.000344246649256514,"Up",TRUE
"ENSG00000141568.21",306.15564222635,-0.91980318400188,0.21908773457687,2.13776466776126e-06,0.000344246649256514,"NS",FALSE
"ENSG00000168300.14",557.201703857958,1.01589927657679,0.243403678657777,2.18427115202531e-06,0.0003471695377647,"Up",TRUE
"ENSG00000233559.2",97.289490871957,-1.43376593300429,0.356291447778513,2.20635548414655e-06,0.00034773274878293,"Down",TRUE
"ENSG00000217801.13",13.0757767332382,-2.98245585728406,0.766557171319191,2.35381635663809e-06,0.000364079266584513,"Down",TRUE
"ENSG00000234742.1",6.90567058385573,-2.26575203556807,0.555199426788584,2.34736803917603e-06,0.000364079266584513,"Down",TRUE
"ENSG00000105205.7",114.774667351338,2.74521105202685,1.29050008353449,2.36831087834234e-06,0.000364079266584513,"Up",TRUE
"ENSG00000038945.15",455.974816027505,-2.49142937816569,0.853115056092266,2.49281222691554e-06,0.000380103197689439,"Down",TRUE
"ENSG00000086288.12",35.0891414846843,1.09110790044639,0.261484855452219,2.59318290195949e-06,0.000389081162610002,"Up",TRUE
"ENSG00000101079.21",351.525813355166,0.972399069271426,0.234533100555316,2.58516234912883e-06,0.000389081162610002,"NS",FALSE
"ENSG00000140932.10",136.431313726946,2.3915285966362,0.717744388859073,2.62520409441341e-06,0.000390759545958123,"Up",TRUE
"ENSG00000237522.1",46.3108514899675,-1.38683371749476,0.340746089085635,2.75799355040484e-06,0.000397568805500167,"Down",TRUE
"ENSG00000240093.1",13.4933733129472,-3.65904299713001,0.856066150540529,2.74123955589023e-06,0.000397568805500167,"Down",TRUE
"ENSG00000180138.7",13.8739293462513,3.27910909638047,1.10392006688026,2.77694020370684e-06,0.000397568805500167,"Up",TRUE
"ENSG00000103496.15",457.889954397483,-1.18752357913045,0.294681730675624,2.75599543781245e-06,0.000397568805500167,"Down",TRUE
"ENSG00000101126.18",877.335364776983,-0.709441988142102,0.165064146229542,2.71360675535027e-06,0.000397568805500167,"NS",FALSE
"ENSG00000138185.20",594.992669057265,1.22438592799612,0.301475858037603,3.02586973206732e-06,0.000429925657764564,"Up",TRUE
"ENSG00000162551.14",1597.04827444695,0.106901953378961,0.344328691794315,3.12870684464223e-06,0.000441194713317782,"NS",FALSE
"ENSG00000130818.12",152.034848067064,-0.888387781835148,0.213088492366583,3.24740212876437e-06,0.00045451512630579,"NS",FALSE
"ENSG00000105642.16",10.8426950822318,-4.17131210813651,1.14027417975731,3.2861178118753e-06,0.000456526959716454,"Down",TRUE
"ENSG00000145491.12",35.6721609122597,1.92723924913385,0.495692523321043,3.38949818747763e-06,0.000467426753721639,"Up",TRUE
"ENSG00000108244.17",67.6898962206062,2.93328052516311,0.848787482024813,3.47351136503382e-06,0.000475516099643864,"Up",TRUE
"ENSG00000249662.7",7.11406018145616,3.51633684294468,0.900933251029211,3.61699116249446e-06,0.000488284090432296,"Up",TRUE
"ENSG00000135525.19",18.628784672784,2.76542648161153,0.711959773898167,3.61884769768537e-06,0.000488284090432296,"Up",TRUE
"ENSG00000290084.1",15.763358341223,2.33240524818339,0.59349527049979,3.81398824479685e-06,0.000507314535682021,"Up",TRUE
"ENSG00000279608.1",10.958312916357,-2.26256687311039,0.607649901976196,3.79630454539672e-06,0.000507314535682021,"Down",TRUE
"ENSG00000257335.8",1113.91422354412,2.75297261594169,0.966580406720958,3.95069279904754e-06,0.0005217974890573,"Up",TRUE
"ENSG00000230492.2",34.1817719109492,2.63080606324954,0.796583981755746,4.1671699831679e-06,0.000546540370869328,"Up",TRUE
"ENSG00000181631.7",872.433034606296,1.4615457211942,0.369970662524911,4.2953411926739e-06,0.000559438361587493,"Up",TRUE
"ENSG00000129675.16",1436.63865707574,1.02226691010154,0.25860810128132,4.47329946196967e-06,0.000578598147649939,"Up",TRUE
"ENSG00000100241.22",862.512315692437,-0.547464037063955,0.127994080500878,4.67171088227941e-06,0.000600122860254454,"NS",FALSE
"ENSG00000235750.10",1066.45858826313,1.31257011069915,0.331915737715736,4.7368397347573e-06,0.000604349858676008,"Up",TRUE
"ENSG00000197852.12",486.543814440655,1.33039874839805,0.33836137508308,4.92194677913466e-06,0.000623723728666693,"Up",TRUE
